ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,California,9664,9664,16150,0,False,,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145,0.8304957879919966,0.9906701814323516,0.0,12.806248474865695,0.4773362020046294,1.201374551298408,0.0,14.106735979665885,0.0,0.0,1.0,1.3982740356016667,7.405124529032488,21.49098129194992,12.806248474865695,275.2188463934009
gmres,jacobi,1e-08,500,0,-3,500,0.0535090840421617,250.97201926720123,1.4580311099002647,,California,9664,9664,16150,1,False,,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145,0.8304957879919966,0.9906701814323516,0.0,12.806248474865695,0.4773362020046294,1.201374551298408,0.0,14.106735979665885,0.0,0.0,1.0,1.3982740356016667,7.405124529032488,21.49098129194992,12.806248474865695,275.2188463934009
bcgs,ilu,1e-08,500,1,2,48,0.0046801669523119,695191.9339315707,7549904.793476298,,Chebyshev2,2053,2053,18447,1,True,48.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43
bcgs,jacobi,1e-08,500,1,2,9,0.0003874580143019,15.20473424766979,2.0560894823046096,,Chebyshev2,2053,2053,18447,1,True,9.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43
cg,jacobi,1e-08,500,0,-4,42,0.0007958330679684,19537542583358.414,145997579005.32635,,Chebyshev2,2053,2053,18447,1,False,,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43
gmres,ilu,1e-08,500,1,2,269,0.0139028750127181,886261.8945433868,1529346739.897411,,Chebyshev2,2053,2053,18447,1,True,269.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43
gmres,jacobi,1e-08,500,1,2,4,0.0001192920608446,17.00676258320047,2.060359180887385,,Chebyshev2,2053,2053,18447,1,True,4.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43
bcgs,ilu,1e-08,500,0,-3,500,0.0793157500447705,97142324.21012826,3292828752574.7056,,Chebyshev3,4101,4101,36879,1,False,,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049,1130.4739590669406,45079.84390056897,0.000258897938314,2017531.790805432,1229.2672943045309,45077.25811749143,0.0002589215229132,2000000.000001,1e-05,58541.66667666667,0.0,1.4135793968686845,61096.20336447615,2013127.8812677313,7792768856.885081,1.5687840258070224e+16
bcgs,jacobi,1e-08,500,1,2,4,0.0003230420406907,114.3378108626,1.87736134867793,,Chebyshev3,4101,4101,36879,1,True,4.0,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049,1130.4739590669406,45079.84390056897,0.000258897938314,2017531.790805432,1229.2672943045309,45077.25811749143,0.0002589215229132,2000000.000001,1e-05,58541.66667666667,0.0,1.4135793968686845,61096.20336447615,2013127.8812677313,7792768856.885081,1.5687840258070224e+16
cg,jacobi,1e-08,500,0,-4,68,0.002476125024259,2028993811575212.0,8861735136810.064,,Chebyshev3,4101,4101,36879,1,False,,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049,1130.4739590669406,45079.84390056897,0.000258897938314,2017531.790805432,1229.2672943045309,45077.25811749143,0.0002589215229132,2000000.000001,1e-05,58541.66667666667,0.0,1.4135793968686845,61096.20336447615,2013127.8812677313,7792768856.885081,1.5687840258070224e+16
